,LONGITUDE,LATITUDE,MUN_NAME,WARD_NAME
351247,-79.2810604501,43.6801514435,Scarborough,Scarborough Southwest
359162,-79.2866982074,43.6851617825,former Toronto,Beaches-East York
97917,-79.4686975109,43.684212084,York,York South-Weston
303312,-79.3305781301,43.6715829981,former Toronto,Toronto-Danforth
342196,-79.3074868072,43.7059094685,East York,Beaches-East York
465546,-79.2238860123,43.740583813,Scarborough,Scarborough Southwest
457052,-79.2846582644,43.8231026263,Scarborough,Scarborough North
364011,-79.2658511138,43.7099922378,Scarborough,Scarborough Southwest
133849,-79.4261453427,43.67007002,former Toronto,University-Rosedale
243655,-79.4319843296,43.7344106299,North York,Eglinton-Lawrence
135553,-79.424281625,43.669586918,former Toronto,University-Rosedale
303573,-79.3376413883,43.6782310195,former Toronto,Toronto-Danforth
13252,-79.580140509,43.664238321,Etobicoke,Etobicoke Centre
44598,-79.5117665347,43.6268399006,Etobicoke,Etobicoke-Lakeshore
261979,-79.4487404197,43.7661025257,North York,York Centre
400658,-79.3309985146,43.7773280676,North York,Don Valley North
239183,-79.4507851408,43.7231394339,North York,Eglinton-Lawrence
130377,-79.4272076633,43.6662851413,former Toronto,University-Rosedale
220723,-79.5009133121,43.7202765483,North York,York Centre
322702,-79.3685928885,43.7107224297,East York,Don Valley West
603,-79.5489613911,43.5983644715,Etobicoke,Etobicoke-Lakeshore
430541,-79.2883987849,43.7925545162,Scarborough,Scarborough-Agincourt
352499,-79.3018530321,43.7154351713,East York,Beaches-East York
390082,-79.3533055675,43.7771153276,North York,Don Valley North
407959,-79.3014859729,43.7363648666,Scarborough,Scarborough Centre
392452,-79.3347563695,43.7659490915,North York,Don Valley East
449822,-79.2927015858,43.8177552277,Scarborough,Scarborough North
353586,-79.2994312163,43.707571386,East York,Beaches-East York
35249,-79.5481797507,43.7172906525,Etobicoke,Etobicoke North
14172,-79.5833073373,43.6680995838,Etobicoke,Etobicoke Centre
488743,-79.2157648582,43.8012653918,Scarborough,Scarborough-Rouge Park
516390,-79.362847223,43.755511426,North York,Don Valley West
