,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC
26857,Boston,42.350025,-71.050484,22.753805,0,POINT (-71.050484 42.350025),55424,Industrial
26594,Boston,42.349697,-71.030403,14.461014000000002,0,POINT (-71.03040300000001 42.349697),54434,Industrial
10589,Boston,42.322075,-71.05348199999997,20.163923,0,POINT (-71.05348199999997 42.322075),55420,Industrial
10365,Boston,42.321423,-71.065872,18.98884,0,POINT (-71.065872 42.321423),55612,Industrial
26615,Boston,42.349697,-71.048798,20.249405,0,POINT (-71.04879800000001 42.349697),55424,Industrial
22178,Boston,42.343525,-71.042603,17.291933,0,POINT (-71.042603 42.343525),54195,Industrial
18961,Boston,42.338326,-71.04373199999998,15.130059,0,POINT (-71.04373199999998 42.338326),54202,Industrial
49032,Boston,42.383499,-71.022903,15.117091,0,POINT (-71.022903 42.383499),55434,Industrial
86122,Boston,42.243237,-71.13069899999998,14.943389000000002,0,POINT (-71.13069899999998 42.243237),54402,Industrial
5536,Boston,42.30905900000001,-71.105659,20.880733,0,POINT (-71.105659 42.30905900000001),55787,Industrial
50610,Boston,42.386101,-71.019524,20.251514,0,POINT (-71.019524 42.386101),55454,Industrial
22436,Boston,42.343849,-71.06118000000002,19.929249,0,POINT (-71.06118000000002 42.343849),55422,Industrial
19570,Boston,42.339298,-71.037537,22.573181,0,POINT (-71.037537 42.339298),54198,Industrial
35661,Boston,42.364323,-71.033592,23.138634,0,POINT (-71.033592 42.364323),55493,Industrial
30362,Boston,42.355225,-71.13829799999998,23.070093,0,POINT (-71.13829799999998 42.355225),55323,Industrial
18762,Boston,42.337997,-71.064552,16.128418,0,POINT (-71.06455200000001 42.337997),55419,Industrial
23046,Boston,42.344826,-71.033592,23.995657,0,POINT (-71.033592 42.344826),55417,Industrial
49481,Boston,42.384148,-71.06980899999998,13.580701,0,POINT (-71.06980899999998 42.384148),54846,Industrial
12263,Boston,42.326298,-71.10395799999998,22.479771,0,POINT (-71.10395799999998 42.326298),55045,Industrial
