,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC,index_outof_20000
17649,Boston,42.3367,-71.068687,19.007666,0,POINT (-71.068687 42.3367),54885,Mixed Use,17649
13863,Boston,42.271515,-71.12150600000002,27.164862,1,POINT (-71.12150600000002 42.271515),54316,Industrial,13863
8332,Boston,42.339951,-71.10170699999998,21.717508,0,POINT (-71.10170699999998 42.339951),55211,Residential,8332
3754,Boston,42.277363,-71.11663100000001,26.298969,1,POINT (-71.11663100000001 42.277363),54307,Residential,3754
7512,Boston,42.29134000000001,-71.11644,20.969572,0,POINT (-71.11644 42.29134000000001),54238,Residential,7512
3974,Boston,42.277687,-71.117195,26.350809,1,POINT (-71.117195 42.277687),54250,Residential,3974
4601,Boston,42.292961,-71.113251,27.295541999999998,1,POINT (-71.11325100000001 42.292961),54238,Residential,4601
8946,Boston,42.340599,-71.153122,24.680101,0,POINT (-71.153122 42.340599),55360,Residential,8946
15362,Boston,42.348724,-71.05011,17.565855,0,POINT (-71.05011 42.348724),55424,Industrial,15362
13176,Boston,42.366924,-71.068497,17.76766,0,POINT (-71.06849699999999 42.366924),55203,Open Space,13176
7469,Boston,42.342834,-71.166092,23.79874,0,POINT (-71.16609200000001 42.342834),55377,Residential,7469
11996,Boston,42.354572,-71.079376,22.822847,0,POINT (-71.079376 42.354572),55203,Open Space,11996
5256,Boston,42.276714,-71.088486,23.6159,0,POINT (-71.088486 42.276714),54649,Residential,5256
3245,Boston,42.311813,-71.131264,31.078588,1,POINT (-71.131264 42.311813),54244,Residential,3245
18103,Boston,42.341576,-71.066994,24.348415,0,POINT (-71.06699399999999 42.341576),54894,Mixed Use,18103
1936,Boston,42.311264,-71.11882,27.99592,1,POINT (-71.11882 42.311264),55823,Residential,1936
11660,Boston,42.338974,-71.098518,29.235931,1,POINT (-71.098518 42.338974),55182,Open Space,11660
1698,Boston,42.271839,-71.078911,27.067053,1,POINT (-71.07891100000001 42.271839),54657,Residential,1698
14068,Boston,42.351321999999996,-71.049355,20.052881,0,POINT (-71.04935500000001 42.351322),55424,Industrial,14068
8179,Boston,42.350349,-71.169258,18.75692,0,POINT (-71.169258 42.350349),55297,Residential,8179
14288,Boston,42.382197999999995,-71.060806,20.600786,0,POINT (-71.060806 42.382198),54857,Industrial,14288
8200,Boston,42.384476,-71.020088,24.785358,0,POINT (-71.020088 42.384476),55447,Residential,8200
16171,Boston,42.344173,-71.051231,19.091103,0,POINT (-71.051231 42.344173),54201,Industrial,16171
11700,Boston,42.272163,-71.142525,30.867403000000003,1,POINT (-71.14252500000001 42.272163),54355,Open Space,11700
5695,Boston,42.265339000000004,-71.113068,21.0028,0,POINT (-71.113068 42.265339),54331,Residential,5695
18752,Boston,42.347099,-71.07431,29.446453,1,POINT (-71.07431 42.347099),54928,Business,18752
18588,Boston,42.319148999999996,-71.050667,26.700871999999997,1,POINT (-71.050667 42.319149),55742,Business,18588
13524,Boston,42.326626,-71.057236,19.679157,0,POINT (-71.057236 42.326626),54679,Open Space,13524
14626,Boston,42.344826,-71.035851,17.527988,0,POINT (-71.03585099999999 42.344826),55417,Industrial,14626
4727,Boston,42.300948999999996,-71.071312,30.533587,1,POINT (-71.07131200000001 42.300949),55654,Residential,4727
10197,Boston,42.308895,-71.120941,29.865885,1,POINT (-71.120941 42.308895),55842,Open Space,10197
